Pruning %,Size (MB),Parameters (K),Inference Time (ms/image),Accuracy Before Fine-Tuning (%),Accuracy After Fine-Tuning (%),Learning Rate,Epochs,Epoch Time (s)
0,1.050,272.47,1.98,92.11,92.41,0.00001,1,3.43
5,0.920,239.63,2.13,66.89,89.56,0.00005,3,3.35
10,0.820,214.29,1.99,41.16,86.93,0.00005,3,3.26
15,0.740,193.46,1.84,21.63,84.71,0.00005,3,3.24
20,0.660,170.77,1.79,13.63,80.89,0.00005,3,3.29
25,0.590,153.77,1.76,14.12,78.02,0.00005,3,3.24
30,0.500,129.36,1.73,12.54,76.49,0.00010,3,3.36
35,0.430,110.93,1.83,13.08,70.41,0.00010,3,3.23
40,0.370,96.09,1.79,11.19,63.59,0.00010,3,3.26
45,0.310,80.31,1.77,10.05,57.38,0.00010,3,3.24
50,0.270,68.79,1.80,9.90,50.13,0.00010,3,3.26
55,0.200,52.81,1.74,10.00,47.80,0.00010,10,3.30
60,0.160,41.29,1.68,10.00,68.54,0.00100,10,3.28
65,0.130,32.44,1.68,10.00,58.94,0.00100,10,3.57
70,0.090,23.58,1.68,10.00,68.34,0.01000,10,3.47
75,0.070,17.53,1.66,10.00,66.64,0.01000,10,3.48
80,0.040,9.99,1.67,10.00,57.98,0.01000,10,3.42
85,0.020,5.38,1.70,10.00,49.36,0.01000,10,3.60
90,0.010,2.53,1.63,10.00,35.15,0.01000,10,3.67
